Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
52,124,2018-08-19,OAK,HOU,5-5,,1,1.0,0,0,0,0,0,0,0,1.65,2,8,5,1,0,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,1.23,0.105,3.22,0.17%,1.49,2.25,3.00,5t 12- 0 out d2,5t 3 out d2,,OAK,0.0,L,4,9
53,126,2018-08-21,OAK,TEX,9-GF,,1,1.0,0,0,0,0,0,0,0,1.62,3,15,10,3,0,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,.06,0.00%,0.50,2.25,3.00,9t --- 0 out a6,9t end a 6,,OAK,0.0,W,6,0
54,129,2018-08-24,OAK,MIN,6-6,H(17),2,1.0,0,0,0,0,0,0,0,1.60,3,5,4,1,0,3,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.38,0.152,3.92,0.15%,0.91,2.25,3.00,6b 1-- 0 out a1,6b 3 out a1,,MIN,0.0,W,7,1
55,130,2018-08-25,OAK,MIN,6-7,H(18),0,0.2,1,1,1,0,1,1,1,1.72,4,13,9,2,3,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.94,-0.074,1.52,-0.07%,-0.79,0.30,2.00,6b 1-- 2 out a3,7b 1-- 1 out a2,,MIN,5.0,W,6,2
56,132,2018-08-27,OAK,HOU,8-8,,1,0.1,2,4,4,2,1,1,0,2.29,5,17,8,1,4,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.65,-0.121,1.69,-0.19%,-3.02,-7.65,-8.00,8b --- 0 out d1,8b 1-- 1 out d4,,HOU,40.0,L,4,11
57,134,2018-08-29,OAK,HOU,7-7,,1,1.0,1,0,0,2,2,0,0,2.25,6,23,12,3,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,2.26,0.088,6.21,0.15%,0.51,4.45,9.00,7b --- 0 out tie,7b 3 out tie,,HOU,3.0,L,4,5
58,136,2018-08-31,OAK,SEA,6-6,H(19),1,1.0,0,0,0,0,1,0,0,2.22,3,12,9,4,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.05,0.080,2.23,0.10%,0.50,4.25,6.00,6t --- 0 out a1,6t 3 out a1,,OAK,0.0,W,7,5
59,138,2018-09-02,OAK,SEA,7-7,,1,1.0,2,0,0,0,1,0,0,2.18,5,15,11,3,3,1,3,2,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.83,0.028,1.78,0.04%,0.50,3.05,6.00,7t --- 0 out a4,7t 3 out a4,,OAK,2.0,W,8,2
60,139,2018-09-03,OAK,NYY,6-6,H(20),0,1.0,0,0,0,0,3,0,0,2.15,3,14,11,3,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.62,0.047,1.00,0.05%,0.50,8.25,12.00,6t --- 0 out a3,6t 3 out a3,,OAK,0.0,W,6,3
61,141,2018-09-05,OAK,NYY,8-8,,1,1.0,0,0,0,0,1,0,0,2.12,3,13,9,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,.11,0.01%,0.50,4.25,6.00,8t --- 0 out a6,8t 3 out a6,,OAK,0.0,W,8,2
