,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
27,28,35,2019-05-08,CLE,CHW,GS-7,,4,6.1,8,3,3,1,6,1,0,3.32,27,87,60,20,10,8,12,5,1,0,50.0,,,1,0,0,25,0,0,0,1,0,0,1.17,-0.087,1.39,-0.06%,0.28,14.85,28.0,1t start tie,7t -2- 1 out tie,,CLE,1.475409836065574,W,5,3
28,29,40,2019-05-13,CLE,CHW,GS-7,L(2-2),4,6.1,7,5,5,0,6,4,0,3.81,25,101,64,18,12,8,11,3,0,0,45.0,,,0,0,0,25,1,0,0,0,0,0,0.6,-0.152,0.75,-0.11%,-0.96,12.05,22.0,1b start a 1,7b -2- 1 out d2,,CHW,1.1475409836065575,L,2,5
29,30,45,2019-05-19,CLE,BAL,SHO,W(3-2),5,9.0,5,0,0,0,15,0,0,3.22,31,107,75,24,26,8,8,5,1,0,92.0,,,0,0,0,31,0,0,0,1,0,0,0.41,0.23800000000000002,0.44,0.16%,5.17,56.25,84.0,1t start tie,9t 3 out a10,,CLE,0.5555555555555556,W,10,0
30,31,50,2019-05-24,CLE,TBR,GS-5,,4,5.0,4,1,1,4,10,0,0,3.11,23,111,67,16,21,2,7,6,0,0,61.0,,,1,0,0,19,2,0,0,0,0,0,1.19,0.184,1.13,0.11%,1.87,24.45,42.0,1t start tie,5t 3 out tie,,CLE,1.6,W,3,1
31,32,55,2019-05-29,CLE,BOS,GS-5,W(4-2),4,5.0,8,6,6,0,6,3,0,3.67,23,77,57,15,11,6,11,4,1,0,33.0,,,0,0,0,23,2,0,0,0,0,0,0.92,-0.261,0.8,-0.14%,-3.1,10.45,27.0,1b start a 2,5b 3 out a2,,BOS,1.6,W,14,9
32,33,60,2019-06-04,CLE,MIN,GS-8,W(5-2),5,7.0,5,2,2,1,7,2,0,3.57,27,104,63,15,15,10,9,3,3,0,65.0,,,0,1,0,26,2,0,0,0,0,1,0.89,0.215,0.76,0.11%,1.62,26.15,48.0,1t start tie,8t 1-- 0 out a3,,CLE,0.8571428571428571,W,5,2
33,34,65,2019-06-09,CLE,NYY,GS-2,,4,1.2,5,5,5,2,4,1,0,4.07,12,48,26,9,5,4,2,1,0,0,27.0,,,0,0,0,10,1,0,0,0,0,0,0.86,-0.32899999999999996,0.81,-0.19%,-4.5,-2.45,2.0,1t start tie,2t -23 2 out d5,,CLE,5.833333333333334,L,6,7
34,35,69,2019-06-15,CLE,DET,GS-8,W(6-2),5,7.2,4,2,2,1,12,0,0,3.92,27,105,76,18,22,7,7,2,3,0,74.0,,,0,0,0,26,0,0,0,1,0,0,1.36,0.299,1.06,0.14%,2.39,38.25,65.0,1b start tie,8b --- 2 out a2,,DET,0.6944444444444444,W,4,2
35,36,74,2019-06-20,CLE,TEX,GS-6,L(6-3),4,6.0,5,2,2,0,8,0,0,3.86,23,102,71,21,17,6,9,7,1,0,62.0,,,1,0,0,23,3,1,0,0,0,0,0.68,0.095,0.72,0.06%,1.68,22.5,36.0,1b start tie,6b 3 out d1,,TEX,0.8333333333333334,L,2,4
36,37,79,2019-06-25,CLE,KCR,GS-6,,4,5.1,6,3,2,2,6,0,1,3.83,24,100,63,20,15,14,1,1,0,0,50.0,,,0,0,0,20,1,0,0,2,0,1,1.31,0.03,1.46,0.02%,0.86,14.6,28.0,1t start tie,6t 1-- 1 out a1,,CLE,1.5686274509803924,L,6,8
