,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
28,29,12,2019-04-09,SDN,SFG,GS-4,L(2-1),5,4.0,7,7,7,2,4,0,0,4.4,21,76,46,12,12,7,8,6,0,0,22,,,0,0,0,17,3,0,0,0,1,0,0.58,-0.34600000000000003,0.7,-0.25%,-5.01,-2.4,3.0,1b start tie,4b 3 out d7,,SFG,2.25,L,2,7
29,30,18,2019-04-15,SDN,COL,GS-7,L(2-2),5,7.0,7,5,5,2,4,2,0,5.06,29,89,58,18,4,11,12,6,1,0,45,,,0,1,0,26,2,0,0,1,0,1,0.8,-0.17800000000000002,1.03,-0.14%,-1.49,8.35,18.0,1t start tie,7t 3 out d4,,SDP,1.2857142857142858,L,2,5
30,31,23,2019-04-21,SDN,CIN,GS-6,W(3-2),5,5.2,5,1,1,2,8,0,0,4.33,24,92,58,15,14,10,4,2,0,0,61,,,0,0,0,22,1,0,0,0,0,0,0.78,0.134,0.76,0.08%,1.58,26.55,50.0,1t start tie,6t 12- 2 out a3,,SDP,1.346153846153846,W,4,3
31,32,28,2019-04-28,SDN,WSN,GS-4,,6,4.0,9,5,4,1,5,2,0,4.94,23,84,51,7,7,7,10,3,1,0,30,,,0,0,0,22,0,0,0,0,0,1,1.04,-0.136,1.2,-0.10%,-2.75,5.0,15.0,1b start a 1,4b 3 out a1,,WSN,2.5,L,6,7
32,33,34,2019-05-04,SDN,LAD,GS-6,,5,5.0,5,3,3,2,2,0,0,5.0,22,100,64,21,6,11,7,0,2,0,45,,,0,0,0,20,1,0,0,0,0,0,0.94,0.027999999999999997,1.25,0.02%,0.52,5.05,12.0,1t start tie,6t 12- 0 out a2,,SDP,1.4,L,6,7
33,34,40,2019-05-11,SDN,COL,GS-6,,6,5.1,3,1,1,1,4,0,0,4.57,20,71,46,11,10,7,8,2,2,0,61,,,0,0,0,19,2,0,0,0,0,0,0.91,0.3,1.04,0.21%,2.97,15.6,25.0,1b start tie,6b -2- 1 out a2,,COL,0.7843137254901962,W,4,3
34,35,45,2019-05-17,SDN,PIT,GS-7,L(3-3),5,7.0,5,2,2,0,6,1,0,4.28,25,77,52,16,6,14,5,2,1,0,65,,,0,0,0,25,0,0,0,2,0,1,0.83,0.121,0.87,0.08%,1.52,20.75,33.0,1t start tie,7t 3 out d1,,SDP,0.7142857142857143,L,3,5
35,36,51,2019-05-24,SDN,TOR,GS-7,,6,6.2,3,3,3,1,11,2,0,4.25,24,95,66,20,16,2,10,2,1,0,66,,,0,0,0,23,0,0,0,0,0,0,0.87,0.047,0.81,0.03%,0.51,28.6,44.0,1b start tie,7b 1-- 2 out tie,,TOR,0.6451612903225806,W,6,3
36,37,57,2019-05-31,SDN,MIA,GS-7,W(4-3),6,6.1,2,1,1,1,5,1,0,3.96,23,86,54,14,12,8,9,2,1,0,69,,,0,0,0,22,1,0,0,0,0,0,0.99,0.23399999999999999,0.91,0.13%,1.99,24.45,43.0,1t start tie,7t 1-- 1 out a1,,SDP,0.4918032786885246,W,5,2
37,38,63,2019-06-06,SDN,WSN,GS-5,W(5-3),5,5.0,4,4,4,3,5,1,0,4.21,23,95,60,22,7,8,7,1,0,0,45,,,0,0,0,20,2,0,0,0,0,1,0.72,-0.168,0.52,-0.07%,-1.49,13.05,30.0,1t start tie,5t 3 out d2,,SDP,1.4,W,5,4
38,39,68,2019-06-12,SDN,SFG,GS-6,L(5-4),5,6.0,5,3,2,2,6,1,0,4.11,25,90,55,13,12,8,9,2,1,0,56,,,0,0,0,23,0,0,0,0,0,0,1.01,-0.107,0.63,-0.04%,-0.02,17.3,30.0,1b start tie,6b 3 out d1,,SFG,1.1666666666666667,L,2,4
39,40,73,2019-06-17,SDN,MIL,GS-7,W(6-4),4,7.0,3,0,0,3,5,0,0,3.74,25,103,62,19,11,10,7,4,0,0,73,,,0,0,0,22,1,0,0,2,0,0,1.03,0.41,0.61,0.15%,3.52,26.15,48.0,1t start tie,7t 3 out a2,,SDP,0.8571428571428571,W,2,0
40,41,78,2019-06-23,SDN,PIT,GS-5,,5,5.0,6,4,4,0,4,0,1,3.95,22,86,56,12,14,3,14,8,1,0,43,,,0,0,0,19,2,0,0,0,2,0,1.31,-0.251,0.85,-0.10%,-1.46,7.05,15.0,1b start a 1,5b 3 out d1,,PIT,1.2,L,10,11
41,42,83,2019-06-30,SDN,STL,GS-6,,6,5.1,4,2,2,3,6,0,0,3.91,22,87,51,14,9,6,7,3,0,0,55,,,1,0,0,19,0,0,0,1,0,0,1.11,0.145,0.91,0.07%,1.44,15.8,28.0,1t start tie,6t 123 1 out a3,,SDP,1.3725490196078431,L,3,5
42,43,90,2019-07-07,SDN,LAD,GS-7,W(7-4),6,6.1,6,3,3,0,4,2,0,3.94,25,91,59,16,12,9,12,3,1,0,53,,,1,0,0,25,1,0,0,0,0,0,0.79,0.061,0.52,0.02%,0.02,16.65,34.0,1b start a 1,7b 1-- 1 out a2,,LAD,0.9836065573770492,W,5,3
43,44,92,2019-07-13,SDN,ATL,GS-5,,5,5.0,3,2,2,2,4,1,0,3.92,20,79,49,12,6,9,5,2,0,0,55,,,0,0,0,18,0,0,0,0,0,0,0.82,0.046,0.51,0.02%,0.51,12.25,21.0,1t start tie,5t 3 out d1,,SDP,1.0,L,5,7
44,45,98,2019-07-20,SDN,CHC,GS-5,L(7-5),6,4.1,10,6,6,3,3,1,0,4.27,24,97,60,12,10,10,8,4,0,0,19,,,0,0,0,21,3,1,0,1,0,0,1.29,-0.509,0.44,-0.11%,-4.25,-4.05,4.0,1b start tie,5b 12- 1 out d1,,CHC,3.1707317073170733,L,5,6
45,46,103,2019-07-26,SDN,SFG,GS-6,,5,6.0,2,1,1,4,8,0,0,4.12,25,97,60,18,12,6,7,2,2,0,68,,,1,0,0,21,1,0,0,1,0,1,1.38,0.212,0.35,0.03%,2.01,23.9,39.0,1t start tie,6t 3 out tie,,SDP,1.0,L,1,2
46,47,108,2019-08-01,SDN,LAD,GS-6,L(7-6),5,5.2,4,4,4,3,4,1,0,4.23,23,99,59,20,10,7,9,6,2,0,46,,,0,0,0,19,0,0,0,1,0,0,1.29,0.151,0.24,0.02%,1.27,8.55,17.0,1b start tie,6b 123 2 out a1,,LAD,1.346153846153846,L,2,8
47,48,113,2019-08-07,SDN,SEA,GS-6,,5,5.1,5,2,2,1,8,1,0,4.19,22,102,67,25,11,6,7,3,1,0,57,,,1,0,0,21,0,1,0,0,0,0,0.92,0.054000000000000006,0.13,0.00%,0.81,20.4,34.0,1b start a 1,6b --- 1 out tie,,SEA,1.1764705882352942,L,2,3
48,49,118,2019-08-12,SDN,TBR,GS-5,L(7-7),4,4.2,5,3,3,3,6,1,0,4.25,21,94,54,12,11,6,6,2,2,0,45,,,1,1,0,18,0,0,0,0,0,0,0.95,-0.09300000000000001,0.12,-0.01%,-0.72,11.7,23.0,1t start tie,5t 1-- 2 out d1,,SDP,1.9047619047619049,L,4,10
49,50,123,2019-08-18,SDN,PHI,GS-6,W(8-7),5,6.0,3,2,2,2,4,0,0,4.2,23,109,69,19,4,7,10,4,2,0,60,,,0,0,0,21,2,0,0,0,0,0,0.99,0.09,0.07,0.00%,1.24,18.5,36.0,1b start tie,6b 3 out tie,,PHI,0.8333333333333334,W,3,2
50,51,129,2019-08-25,SDN,BOS,GS-5,W(9-7),6,5.0,3,1,1,2,3,1,0,4.11,20,73,47,16,4,8,7,3,0,0,58,,,0,0,0,18,0,0,0,0,0,0,0.77,0.16699999999999998,0.01,0.00%,1.51,16.25,33.0,1t start tie,5t 3 out a2,,SDP,1.0,W,3,1
51,52,135,2019-08-31,SDN,SFG,GS-6,,5,6.0,8,1,1,1,3,1,1,4.0,26,102,62,15,7,9,12,3,3,0,54,,,0,0,0,24,1,0,0,2,0,0,1.07,0.19899999999999998,0.0,0.00%,1.98,11.5,24.0,1b start tie,6b 3 out tie,,SFG,1.5,W,4,1
52,53,141,2019-09-07,SDN,COL,GS-6,W(10-7),6,6.0,2,0,0,5,8,0,0,3.84,24,90,52,16,6,6,5,2,2,0,71,,,0,0,0,19,0,0,0,1,0,0,1.35,0.361,0.0,0.00%,3.01,29.3,54.0,1t start tie,6t 3 out a1,,SDP,1.1666666666666667,W,3,0
53,54,147,2019-09-13,SDN,COL,GS-4,L(10-8),5,3.2,9,8,8,0,2,3,0,4.22,20,45,32,4,5,7,11,4,0,0,13,,,0,0,0,18,2,1,0,0,1,0,0.78,-0.39,0.0,0.00%,-5.64,-9.15,-7.0,1b start tie,4b --- 2 out d6,,COL,2.8125,L,8,10
54,55,153,2019-09-19,SDN,MIL,GS-4,L(10-9),5,4.0,6,3,3,2,7,1,0,4.28,21,85,51,17,6,4,8,3,1,0,43,,,0,0,0,19,2,0,0,0,0,0,1.0,-0.126,0.0,0.00%,-0.86,12.2,24.0,1b start tie,4b 3 out d2,,MIL,2.0,L,1,5
55,56,159,2019-09-26,SDN,LAD,GS-6,L(10-10),6,6.0,3,1,1,2,6,0,0,4.18,23,79,50,17,9,11,4,1,0,0,66,,,0,0,0,20,0,0,0,1,0,1,1.12,0.17300000000000001,0.0,0.00%,2.01,20.5,33.0,1t start tie,6t 3 out d1,,SDP,0.8333333333333334,L,0,1
