Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
53,4,2019-03-31,ARI,LAD,GS-5,,99,4.1,6,5,4,2,3,1,1,8.31,23,97,62,14,7,6,11,6,2,0,34,,,0,0,0,19,1,0,0,0,1,1,1.01,-0.281,1.05,-0.18%,-2.99,1b start tie,5b 1-- 1 out a2,,LAD,1.9512195121951221,L,7,8,2.35,10.00
54,9,2019-04-06,ARI,BOS,GS-5,,5,5.0,5,3,3,2,4,0,0,6.75,21,84,53,19,6,12,3,2,0,0,47,,,0,0,0,19,1,0,1,1,0,0,1.15,0.001,1.08,0.00%,-0.33,1t start tie,5t 3 out a1,,ARI,1.4,W,5,4,9.05,18.00
55,14,2019-04-12,ARI,SDP,GS-7,L(0-1),5,6.1,5,2,2,0,8,1,0,5.17,24,92,62,19,10,6,10,4,1,0,63,,,0,0,0,24,3,0,0,0,0,0,.98,0.046,1.09,0.03%,1.03,1t start tie,7t -2- 1 out d1,,ARI,0.819672131147541,L,1,2,23.25,37.00
56,19,2019-04-18,ARI,ATL,GS-5,W(1-1),5,5.0,4,0,0,1,9,0,0,3.92,20,93,63,17,15,7,3,2,0,0,67,,,0,0,0,19,0,0,0,0,0,0,1.20,0.316,1.17,0.19%,2.78,1b start a 1,5b 3 out a1,,ATL,1.0,W,4,1,30.25,54.00
57,24,2019-04-23,ARI,PIT,GS-7,W(2-1),4,6.1,6,1,1,1,7,0,0,3.33,25,94,64,20,9,8,9,4,2,0,63,,,0,0,0,24,2,0,0,1,0,0,1.16,0.243,1.24,0.16%,2.02,1b start tie,7b 1-- 1 out a1,,PIT,1.1475409836065575,W,2,1,26.05,49.00
58,29,2019-04-28,ARI,CHC,GS-5,,4,4.1,6,3,3,1,5,2,1,3.73,21,96,56,16,11,3,11,5,2,0,43,,,0,0,0,19,2,0,0,0,0,0,.79,-0.133,.92,-0.09%,-1.04,1t start tie,5t -2- 1 out d2,,ARI,1.707317073170732,L,5,6,8.95,19.00
59,33,2019-05-04,ARI,COL,GS-7,W(3-1),5,7.0,3,1,1,1,8,0,0,3.29,25,102,70,18,15,7,9,3,1,0,74,,,0,0,0,24,2,0,0,0,0,0,.39,0.177,.52,0.14%,3.37,1b start tie,7b 3 out a7,,COL,0.5714285714285714,W,9,2,31.35,54.00
60,38,2019-05-09,ARI,ATL,GS-7,,4,7.0,3,1,1,2,6,0,1,2.98,25,104,64,16,10,6,10,5,0,0,71,,,0,0,0,22,2,0,0,1,0,0,1.02,0.346,1.20,0.24%,2.74,1t start tie,7t 3 out tie,,ARI,0.7142857142857143,W,3,2,22.15,36.00
61,43,2019-05-14,ARI,PIT,GS-6,L(3-2),4,6.0,7,3,3,2,5,1,0,3.16,27,103,65,13,15,7,13,5,4,0,49,,,0,0,0,25,1,0,0,0,0,0,1.09,-0.045,1.30,-0.03%,0.21,1t start tie,6t 3 out d3,,ARI,1.5,L,2,6,12.10,24.00
62,48,2019-05-20,ARI,SDP,GS-6,L(3-3),5,6.0,4,2,2,0,7,1,0,3.14,22,82,52,16,5,4,11,3,1,0,63,,,0,0,0,22,0,0,0,0,0,0,.91,-0.003,1.07,0.00%,1.01,1b start tie,6b 3 out d1,,SDP,0.6666666666666666,L,1,2,21.10,33.00
63,53,2019-05-26,ARI,SFG,GS-6,W(4-3),5,5.0,6,1,1,2,6,0,0,3.03,21,87,53,10,9,5,8,5,0,0,55,,,0,0,0,19,2,0,0,1,0,0,.85,0.062,.85,0.04%,1.10,1b start a 2,6b 1-- 0 out a5,,SFG,1.6,W,6,2,20.45,42.00
64,155,2019-09-21,ARI,SDP,GS-2,,99,2.0,0,0,0,0,1,0,0,2.94,6,19,13,3,0,2,3,1,0,0,57,,,0,0,0,6,0,0,0,0,0,0,.69,0.105,.04,0.00%,1.00,1b start a 1,2b 3 out a1,,SDP,0.0,W,4,2,6.50,9.00
