,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
28,29,152,2018-09-20,PHI,ATL,8-GF(8),,2,1.0,1,0,0,0,1,0,0,3.58,4,22,14,1,4,1,2,0,0,0,,3,3,1,0,0,2,0,0,0,0,2,0,0.14,-0.016,0.13,-0.01%,-0.68,3.65,6.0,8b 123 0 out d2,8b end d 5,,ATL,1.0,L,3,8
29,30,156,2018-09-24,PHI,COL,3-3,,3,0.1,0,0,0,2,1,0,0,3.55,3,17,7,4,1,0,0,0,0,0,,3,3,0,0,0,1,0,0,0,0,0,0,1.25,-0.141,0.0,0.00%,-2.18,1.55,4.0,3b 123 2 out d2,3b 3 out d5,,COL,20.0,L,1,10
30,31,158,2018-09-26,PHI,COL,8-GF(8),,1,0.1,1,1,1,0,0,1,0,3.78,2,5,3,1,0,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-1.61,-1.85,-2.0,8b --3 2 out d12,8b end d14,,COL,10.0,L,0,14
31,32,160,2018-09-28,PHI,ATL,8-9,,1,1.1,3,2,2,1,1,0,0,4.15,8,34,21,2,4,2,4,3,0,0,,1,0,0,0,0,7,1,0,0,0,0,0,0.01,0.001,0.0,0.00%,-0.6,-1.4,1.0,8t -2- 1 out d7,9t 123 2 out d8,,PHI,3.636363636363636,L,2,10
32,33,21,2019-04-21,PHI,COL,7-GF(8),,99,2.0,3,0,0,2,3,0,1,0.0,12,43,28,7,5,2,4,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,0.18,0.015,0.21,0.01%,1.25,6.9,15.0,7b --- 0 out d4,8b end d 4,,COL,2.5,L,1,4
33,34,40,2019-05-13,PHI,MIL,4-4,,21,1.0,2,1,1,2,1,0,0,3.0,6,22,12,3,1,2,1,1,0,0,,0,0,2,0,0,4,1,0,1,1,0,0,1.16,-0.062,1.54,-0.05%,-0.46,-0.15,3.0,4t --- 0 out d1,4t 3 out d2,,PHI,4.0,W,7,4
34,35,41,2019-05-14,PHI,MIL,5-7,,0,3.0,1,0,0,1,2,0,0,1.5,11,53,34,9,5,1,7,2,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,0.16,0.031,0.2,0.02%,1.62,9.55,15.0,5t --- 0 out d5,7t 3 out d5,,PHI,0.6666666666666666,L,1,6
35,36,43,2019-05-16,PHI,MIL,9-GF,,1,1.0,2,2,2,0,2,1,0,3.86,5,26,17,3,3,0,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.01,-0.002,0.02,0.00%,-1.46,1.05,3.0,9t --- 0 out d6,9t end d 8,,PHI,2.0,L,3,11
36,37,60,2019-06-03,PHI,SDP,7-7,,17,1.0,0,0,0,2,0,0,0,3.38,4,18,10,3,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.04,0.002,0.05,0.00%,0.5,1.05,3.0,7b --- 0 out d6,7b 3 out d6,,SDP,2.0,L,2,8
37,38,66,2019-06-10,PHI,ARI,9-GF,,6,1.0,2,2,2,2,0,1,0,5.0,6,23,11,1,3,1,3,1,1,0,,0,0,0,0,0,4,0,0,0,1,0,0,0.04,-0.006,0.06,-0.01%,-1.46,-4.15,-3.0,9t --- 0 out d5,9t end d 7,,PHI,4.0,L,8,13
38,39,87,2019-07-04,PHI,ATL,8-GF(8),,23,1.0,2,3,3,1,2,1,0,7.2,6,22,15,2,3,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.12,-0.027000000000000003,0.19,-0.03%,-2.44,-1.55,0.0,8b --- 0 out d3,8b end d 6,,ATL,3.0,L,6,12
39,40,96,2019-07-17,PHI,LAD,8-GF,,12,2.0,3,3,3,1,4,1,2,8.25,12,51,30,10,7,2,3,1,0,0,,0,0,1,0,0,9,0,0,0,0,0,0,0.2,-0.10300000000000001,0.2,-0.06%,-1.92,2.9,9.0,8t --- 0 out d2,9t end d 5,,PHI,2.0,L,2,7
40,41,132,2019-08-28,PHI,PIT,6-7,,41,2.0,2,1,1,0,1,1,0,7.71,8,32,23,3,3,4,3,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.2,0.006999999999999999,0.19,0.00%,0.08,3.3,6.0,6t --- 0 out a6,7t 3 out a7,,PHI,1.0,W,12,3
41,42,143,2019-09-09,PHI,ATL,9-GF,,11,1.0,0,0,0,0,1,0,0,7.2,3,11,8,5,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.54,4.25,6.0,9t --- 0 out d6,9t end d 6,,PHI,0.0,L,2,7
42,43,154,2019-09-22,PHI,CLE,8-GF(8),,12,1.0,0,0,0,0,1,0,0,6.75,3,9,7,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.58,4.25,6.0,8b --- 0 out d9,8b end d 9,,CLE,0.0,L,1,10
43,44,155,2019-09-23,PHI,WSN,7-8,,0,1.2,1,2,2,3,2,0,0,7.13,9,46,25,6,5,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.07,0.006999999999999999,0.01,0.00%,0.31,1.35,5.0,7b --- 0 out d4,8b 123 2 out d4,,WSN,3.333333333333333,L,2,7
44,45,159,2019-09-26,PHI,WSN,6-7,,2,2.0,3,1,1,0,4,1,0,6.86,9,40,28,5,6,1,4,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,0.1,0.0,0.0,0.00%,0.12,8.7,15.0,6b --- 0 out d4,7b 3 out d5,,WSN,1.5,L,3,6
45,46,162,2019-09-29,PHI,MIA,6-6,,2,1.0,1,0,0,0,1,0,0,6.53,4,11,8,3,1,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.43,0.027000000000000003,0.0,0.00%,0.54,3.65,6.0,6t --- 0 out d3,6t 3 out d3,,PHI,1.0,L,3,4
