,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
27,28,112,2018-08-05,,CHW,2-7,,4,5.1,6,5,5,3,6,2,0,4.24,24,94,57,12,11,5,10,4,2,0,,2.0,0.0,0,0,0,20,1,0,0,1,0,0,1.13,-0.32799999999999996,0.08,-0.02%,-2.09,8.6,19.0,2t 12- 2 out tie,7t 3 out d2,,TBR,1.7647058823529411,L,7,8
28,29,118,2018-08-12,,TOR,7-GF(8),,6,2.0,1,0,0,0,1,0,0,4.16,6,20,14,3,1,2,3,2,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,0,0.6,0.07400000000000001,0.04,0.00%,1.0,5.9,9.0,7b --- 0 out d1,8b end d 1,,TOR,0.5,L,1,2
29,30,120,2018-08-15,,NYY,5-8,W(11-5),2,4.0,2,0,0,0,3,0,1,4.01,15,55,37,11,4,4,7,2,1,0,,0.0,0.0,0,0,0,14,2,0,0,0,0,0,0.44,0.08800000000000001,0.01,0.00%,2.05,17.2,33.0,5b --- 0 out a5,8b 3 out a5,,NYY,0.5,W,6,1
30,31,125,2018-08-20,,KCR,2-7,W(12-5),4,5.1,2,0,0,1,6,0,0,3.84,19,73,51,18,6,6,6,3,0,0,,2.0,0.0,0,0,0,18,1,0,0,0,0,0,1.36,0.40700000000000003,0.03,0.01%,2.91,26.2,46.0,2t 12- 2 out tie,7t 3 out a1,,TBR,0.5882352941176471,W,1,0
31,32,130,2018-08-25,,BOS,GS-6,,4,5.0,5,1,1,1,2,0,0,3.75,20,75,48,13,1,5,12,7,2,0,54.0,,,1,0,0,19,2,0,0,1,0,0,1.03,0.099,0.08,0.00%,1.1,9.65,18.0,1t start tie,6t 1-- 0 out tie,,TBR,1.2,W,5,1
32,33,136,2018-09-02,,CLE,2-7,W(13-5),7,5.0,2,1,1,1,3,0,0,3.68,17,67,42,9,6,6,7,4,2,0,,1.0,0.0,0,1,0,16,1,0,0,0,0,0,0.97,0.324,0.09,0.02%,1.64,17.45,33.0,2b 1-- 0 out a1,7b 1-- 0 out a5,,CLE,0.6,W,6,4
33,34,141,2018-09-08,,BAL,2-5,W(14-5),5,3.2,6,3,3,2,3,1,0,3.78,17,58,39,11,6,6,6,3,0,0,,0.0,0.0,0,0,0,15,1,0,0,1,0,0,0.7,-0.037000000000000005,0.07,0.00%,-1.25,7.45,23.0,2t --- 0 out a4,5t 1-- 2 out a2,,TBR,2.5,W,10,5
34,35,146,2018-09-14,,OAK,4-5,,5,2.0,2,1,1,1,2,0,0,3.79,9,32,20,7,2,3,3,1,0,0,,0.0,0.0,0,0,0,8,1,0,1,0,0,0,1.24,-0.01,0.1,0.00%,-0.01,4.7,9.0,4t --- 0 out tie,5t 3 out tie,,TBR,1.5,L,1,2
35,36,151,2018-09-19,,TEX,2-6,W(15-5),4,4.0,5,3,3,2,6,1,0,3.88,19,63,44,10,11,3,8,4,1,0,,1.0,0.0,0,0,0,17,1,0,0,0,0,0,0.65,0.033,0.09,0.00%,0.06,14.8,33.0,2b -2- 2 out a3,6b 1-3 2 out a6,,TEX,1.75,W,9,3
36,37,156,2018-09-24,,NYY,4-8,L(15-6),4,5.0,5,3,3,2,3,0,1,3.93,22,89,58,15,10,9,7,4,0,0,,0.0,0.0,0,0,0,19,4,0,0,0,0,0,0.72,-0.17300000000000001,0.0,0.00%,-0.52,6.45,15.0,4t --- 0 out d1,8t 3 out d3,,TBR,1.4,L,1,4
