Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
65,27,2019-04-26,LAA,KCR,9-GF,,0,1.0,1,1,1,0,0,0,0,3.12,4,16,9,3,0,1,3,1,0,0,,0,0,0,0,0,3,0,1,0,0,1,0,.26,0.009,.16,0.00%,-0.44,-0.35,0.00,9b --- 0 out a5,9b end a 4,,KCR,1.0,W,5,1
66,30,2019-04-30,LAA,TOR,7-7,,3,1.0,0,0,0,0,1,0,0,2.79,3,12,7,2,2,0,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.17,0.091,.77,0.04%,0.54,4.25,6.00,7t --- 0 out tie,7t 3 out tie,,LAA,0.0,W,4,3
67,31,2019-05-01,LAA,TOR,6-6,H(1),0,0.2,0,0,0,1,2,0,0,2.61,3,17,10,3,3,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.73,0.066,1.28,0.03%,0.71,4.90,8.00,6t -2- 1 out a3,6t 3 out a3,,LAA,5.0,W,6,3
68,34,2019-05-05,LAA,HOU,8-8,,3,1.0,2,1,1,0,3,0,0,3.18,5,18,11,3,4,0,2,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.57,-0.050,.58,-0.03%,-0.46,5.05,9.00,8t --- 0 out d2,8t 3 out d3,,LAA,2.0,L,4,10
69,38,2019-05-10,LAA,BAL,7-7,,4,1.0,1,1,1,0,2,1,0,3.65,4,18,13,3,4,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.20,0.003,.17,0.00%,-0.45,3.65,6.00,7b --- 0 out a6,7b 3 out a5,,BAL,1.0,W,8,3
70,41,2019-05-13,LAA,MIN,6-6,H(2),2,1.0,0,0,0,0,3,0,0,3.38,3,17,10,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.091,1.02,0.05%,0.55,8.25,12.00,6b --- 0 out a1,6b 3 out a1,,MIN,0.0,W,5,4
71,44,2019-05-17,LAA,KCR,6-6,H(3),3,1.0,1,0,0,1,2,0,0,3.14,5,18,12,6,2,1,1,0,0,0,,2,2,2,0,0,4,0,0,0,0,0,0,1.60,0.009,1.17,0.00%,-0.45,5.05,9.00,6t 12- 0 out a4,6t 3 out a2,,LAA,2.0,W,5,2
72,47,2019-05-20,LAA,MIN,7-7,,2,1.0,1,0,0,1,1,0,0,2.93,5,28,15,2,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.20,0.060,.91,0.03%,0.54,3.05,6.00,7t --- 0 out d1,7t 3 out d1,,LAA,2.0,L,1,3
73,48,2019-05-21,LAA,MIN,6-6,BS(1),0,1.0,2,2,2,0,1,1,0,3.86,5,14,11,3,1,0,4,2,0,0,,1,1,0,0,0,5,1,0,0,0,0,0,1.26,-0.219,.88,-0.09%,-1.83,-0.95,0.00,6t -2- 0 out a3,6t 3 out tie,,LAA,2.0,L,3,8
74,50,2019-05-24,LAA,TEX,6-6,H(4),2,1.0,2,1,1,1,3,0,0,4.15,6,27,17,2,5,0,2,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,1.87,-0.036,1.10,-0.01%,-0.46,4.45,9.00,6t --- 0 out a2,6t 3 out a1,,LAA,3.0,L,3,4
75,52,2019-05-26,LAA,TEX,9-GF,S(1),1,1.0,1,1,1,1,2,0,0,4.42,6,29,17,4,4,1,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,3.87,0.080,2.17,0.03%,-0.46,3.05,6.00,9t --- 0 out a2,9t end a 1,,LAA,2.0,W,7,6
76,55,2019-05-29,LAA,OAK,7-7,,2,0.1,1,2,2,1,0,0,1,5.30,4,13,7,3,0,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.83,-0.136,1.11,-0.05%,-1.69,-5.05,-5.00,7b --- 0 out a4,7b 1-3 1 out a3,,OAK,20.0,W,12,7
77,57,2019-05-31,LAA,SEA,8-GF(8),,1,1.0,0,0,0,0,2,0,0,5.03,3,12,8,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.032,.29,0.01%,0.51,6.25,9.00,8b --- 0 out d1,8b end d 1,,SEA,0.0,L,3,4
78,60,2019-06-03,LAA,CHC,6-6,,2,0.1,2,1,1,1,0,0,0,5.40,4,16,9,3,0,1,2,0,0,0,,3,3,0,0,0,2,1,0,0,0,1,0,.48,-0.091,.33,-0.04%,-2.84,-3.05,-2.00,6b 123 1 out d2,6b 12- 2 out d6,,CHC,30.0,L,1,8
79,62,2019-06-05,LAA,OAK,6-6,H(5),1,1.0,2,0,0,0,1,0,0,5.14,4,13,8,4,1,2,1,0,1,0,,0,0,0,1,0,4,1,0,0,0,0,0,1.57,0.082,.99,0.03%,0.54,3.05,6.00,6t --- 0 out a1,6t 3 out a1,,LAA,2.0,W,10,9
