Name,first_season,last_season,games_played,games_started,teams,num_teams,key_mlbam,key_retro,key_bbref,key_fangraphs,pitcher_cleaned
Alex White,2011,2012,33,30,['- - -' 'Rockies'],2,502229,whita001,whiteal01,10054,alexwhite
Alex Wilson,2013,2019,303,1,['Red Sox' 'Tigers' 'Brewers'],3,543935,wilsa001,wilsoal01,9239,alexwilson
Alex Wood,2013,2019,179,136,['Braves' '- - -' 'Dodgers' 'Reds'],4,622072,wooda002,woodal02,13781,alexwood
Alex Young,2019,2019,17,15,['Diamondbacks'],1,622065,youna002,youngal01,18333,alexyoung
Alexi Ogando,2010,2018,284,48,['Rangers' 'Red Sox' 'Braves' 'Indians'],4,468396,ogana001,ogandal01,10261,alexiogando
Alfredo Aceves,2008,2014,204,15,['Yankees' 'Red Sox'],2,469686,aceva001,aceveal01,5164,alfredoaceves
Alfredo Figaro,2009,2014,52,9,['Tigers' 'Brewers'],2,451628,figaa001,figaral01,8404,alfredofigaro
Alfredo Simon,2008,2016,255,93,['Orioles' 'Reds' 'Tigers'],3,430580,simoa001,simonal01,2155,alfredosimon
Allen Levrault,2000,2003,56,21,['Brewers' 'Marlins'],2,276368,levra001,levraal01,925,allenlevrault
Allen Webster,2013,2019,43,23,['Red Sox' 'Diamondbacks' 'Cubs'],3,543903,websa001,webstal01,3993,allenwebster
Amaury Telemaco,2000,2005,94,24,['Phillies'],1,123176,telea001,telemam01,1802,amaurytelemaco
Ambiorix Burgos,2005,2007,144,1,['Royals' 'Mets'],2,434586,burga001,burgoam01,3246,ambiorixburgos
Amir Garrett,2017,2019,151,14,['Reds'],1,607237,garra001,garream01,14375,amirgarrett
Andre Rienzo,2013,2015,42,21,['White Sox' 'Marlins'],2,516589,riena001,rienzan01,3507,andrerienzo
Andrew Albers,2013,2017,26,18,['Twins' 'Blue Jays' 'Mariners'],3,452027,albea001,alberan01,7853,andrewalbers
Andrew Carpenter,2008,2012,23,1,['Phillies' '- - -' 'Blue Jays'],3,502165,carpa001,carpean01,9533,andrewcarpenter
Andrew Cashner,2010,2019,300,188,['Cubs' 'Padres' '- - -' 'Rangers' 'Orioles'],5,488768,casha001,cashnan01,8782,andrewcashner
Andrew Chafin,2014,2019,326,3,['Diamondbacks'],1,605177,chafa001,chafian01,12988,andrewchafin
Andrew Heaney,2014,2019,79,77,['Marlins' 'Angels'],2,571760,heana001,heanean01,15423,andrewheaney
Andrew Kittredge,2017,2019,85,10,['Rays'],1,552640,kitta001,kittran01,12828,andrewkittredge
Andrew Lorraine,2000,2002,23,6,['- - -' 'Brewers'],2,117929,lorra001,lorraan01,1583,andrewlorraine
Andrew Miller,2006,2019,556,66,['Tigers' 'Marlins' 'Red Sox' '- - -' 'Yankees' 'Indians' 'Cardinals'],7,453192,milla002,millean01,6785,andrewmiller
Andrew Moore,2017,2019,12,10,['Mariners'],1,621058,moora002,moorean02,17553,andrewmoore
Andrew Oliver,2010,2011,7,7,['Tigers'],1,501989,oliva002,olivean01,10257,andrewoliver
Andrew Suarez,2018,2019,50,31,['Giants'],1,605498,suara002,suarean01,18300,andrewsuarez
