Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Tigers,88,74,3.77,582,162,9,3,40,73.0,16.0,1430.2,6045,1409,670,599,151,438,35,42,46,6,1318,2012,1.2914277723395329
Mariners,75,87,3.76,613,162,8,6,43,61.0,19.0,1456.2,6062,1359,651,609,166,449,39,49,61,5,1166,2012,1.2415876939980772
Cardinals,88,74,3.71,668,162,4,2,42,105.0,22.0,1462.2,6158,1420,648,603,134,436,28,50,46,4,1218,2012,1.2693202024346875
Giants,94,68,3.68,688,162,5,4,53,102.0,13.0,1451.0,6138,1361,649,593,142,489,42,51,54,4,1237,2012,1.2749827705031014
Athletics,94,68,3.5,624,162,1,0,47,79.0,17.0,1470.0,6131,1360,614,571,147,462,34,46,40,5,1136,2012,1.239455782312925
Braves,94,68,3.42,622,162,5,4,47,81.0,13.0,1445.1,5991,1310,600,549,145,464,40,41,54,3,1232,2012,1.227596706110304
Dodgers,86,76,3.35,668,162,2,2,40,81.0,19.0,1449.2,6068,1277,597,540,122,539,62,45,46,2,1276,2012,1.2531051614683963
Reds,97,65,3.34,587,162,9,2,56,73.0,18.0,1453.0,6056,1356,588,540,152,427,33,51,34,7,1248,2012,1.227116311080523
Nationals,98,64,3.34,644,162,3,1,51,105.0,17.0,1468.1,6133,1296,594,545,129,497,32,47,62,4,1325,2012,1.2213064505142701
Rays,90,72,3.19,634,162,7,4,50,77.0,8.0,1459.2,6000,1233,577,518,139,469,35,54,59,4,1383,2012,1.1663925438596492
Orioles,93,69,3.9,654,162,1,1,55,67.0,18.0,1483.0,6278,1433,705,642,184,481,36,53,34,6,1177,2012,1.2906271072151045
Pirates,79,83,3.91,645,162,2,1,45,92.0,14.0,1433.1,6097,1357,674,623,153,490,30,45,45,3,1192,2012,1.2888144581676089
Astros,51,111,4.79,610,162,2,1,32,70.0,29.0,1440.0,6370,1530,848,767,191,616,32,56,61,6,1084,2013,1.4902777777777778
Twins,66,96,4.55,673,162,1,1,40,77.0,18.0,1450.1,6257,1591,788,734,168,458,31,44,50,4,985,2013,1.4130059995862356
Dodgers,92,70,3.25,666,162,7,4,46,83.0,19.0,1450.1,6032,1321,582,524,127,460,44,43,66,3,1292,2013,1.228191159230398
Pirates,94,68,3.27,627,162,3,0,55,86.0,15.0,1470.2,6147,1299,577,535,101,515,26,70,81,6,1261,2013,1.2338457352741123
Reds,90,72,3.38,623,162,5,2,43,78.0,16.0,1473.2,6077,1294,589,554,170,435,28,66,44,5,1296,2013,1.1736356231333152
Cardinals,97,65,3.43,645,162,7,4,44,83.0,20.0,1459.2,6104,1366,596,556,112,451,26,64,33,1,1254,2013,1.2452028508771928
Royals,86,76,3.45,589,162,5,2,52,85.0,21.0,1448.1,6049,1366,601,555,155,469,21,41,60,4,1208,2013,1.2671776810993716
Athletics,96,66,3.56,609,162,6,4,46,64.0,21.0,1452.0,6069,1339,625,574,163,428,23,35,56,1,1183,2013,1.2169421487603307
Nationals,86,76,3.59,602,162,6,4,47,79.0,21.0,1445.2,6038,1367,626,576,142,405,17,48,43,8,1236,2013,1.2261278715748685
Tigers,93,69,3.61,590,162,3,1,39,68.0,16.0,1462.2,6119,1369,624,587,128,462,29,42,63,7,1428,2013,1.252222678156203
Rangers,91,72,3.63,638,163,4,2,46,74.0,11.0,1463.1,6146,1370,636,590,157,498,35,48,68,5,1309,2013,1.2767411660173604
Marlins,62,100,3.71,633,162,2,1,36,52.0,17.0,1460.0,6166,1376,646,602,121,526,58,47,53,2,1177,2013,1.3027397260273972
Rays,92,71,3.74,648,163,9,3,42,85.0,18.0,1464.0,6083,1315,646,608,153,482,38,52,69,6,1310,2013,1.2274590163934427
Mets,74,88,3.78,697,162,4,2,40,68.0,18.0,1476.2,6249,1442,684,621,152,458,38,54,47,3,1209,2013,1.2870884703969652
Red Sox,97,65,3.79,612,162,5,2,33,73.0,24.0,1454.0,6143,1366,656,613,156,524,10,47,47,5,1294,2013,1.299862448418157
Braves,96,66,3.18,628,162,1,0,53,91.0,16.0,1450.1,5989,1326,548,512,127,409,35,51,50,3,1232,2013,1.1964692090200677
Brewers,74,88,3.84,663,162,4,2,40,83.0,23.0,1442.2,6100,1401,687,615,175,466,29,43,51,2,1125,2013,1.2945499930661488
Indians,92,70,3.82,702,162,3,3,38,78.0,22.0,1441.1,6154,1359,662,611,147,554,26,58,71,3,1379,2013,1.3274581916591492
Rockies,74,88,4.44,665,162,1,0,35,82.0,18.0,1436.0,6248,1545,760,708,136,517,52,40,62,15,1064,2013,1.435933147632312
Phillies,73,89,4.34,628,162,6,2,32,55.0,16.0,1436.1,6213,1465,749,692,152,506,33,62,48,6,1199,2013,1.372467098391477
Mariners,71,91,4.32,610,162,4,2,43,65.0,23.0,1465.0,6256,1467,754,703,174,478,48,42,74,1,1297,2013,1.3276450511945392
Angels,78,84,4.24,658,162,4,2,41,79.0,17.0,1457.2,6298,1475,737,687,167,533,36,45,74,4,1200,2013,1.3779851770518803
Orioles,85,77,4.2,635,162,2,1,57,80.0,27.0,1453.0,6144,1438,709,678,202,473,32,50,38,3,1169,2013,1.315209910529938
Blue Jays,74,88,4.26,649,162,4,2,39,62.0,19.0,1452.0,6250,1451,756,688,195,500,33,65,54,7,1208,2013,1.34366391184573
Cubs,66,96,4.0,651,162,3,1,39,63.0,26.0,1448.0,6149,1332,689,643,160,540,43,62,59,4,1184,2013,1.292817679558011
White Sox,63,99,4.0,632,162,5,1,40,89.0,20.0,1455.0,6214,1424,723,646,182,509,24,60,62,4,1249,2013,1.3285223367697594
Padres,76,86,3.98,650,162,3,1,40,75.0,13.0,1455.0,6179,1407,700,643,156,525,31,40,51,2,1171,2013,1.3278350515463917
Yankees,85,77,3.94,590,162,7,3,49,67.0,13.0,1447.1,6128,1452,671,634,171,437,34,51,57,1,1233,2013,1.305369359408472
Diamondbacks,81,81,3.92,689,162,6,2,38,64.0,29.0,1495.0,6338,1460,695,651,176,485,42,60,84,3,1218,2013,1.3010033444816054
Giants,76,86,4.0,686,162,2,2,41,81.0,13.0,1447.1,6163,1380,691,643,145,521,64,50,60,4,1256,2013,1.3136618063713634
Cubs,73,89,3.92,699,162,1,1,37,81.0,21.0,1463.1,6208,1398,707,638,115,504,37,55,64,3,1311,2014,1.2999794955915522
Yankees,84,78,3.75,637,162,5,2,48,85.0,21.0,1453.0,6114,1392,664,605,164,398,23,65,49,6,1370,2014,1.2319339298004128
Marlins,77,85,3.79,649,162,3,3,42,70.0,22.0,1457.2,6217,1481,674,614,114,458,35,49,56,4,1190,2014,1.3306340927806752
Phillies,73,89,3.81,623,162,2,0,40,57.0,16.0,1468.1,6261,1396,687,621,134,521,43,69,49,1,1255,2014,1.305769361760098
Blue Jays,83,79,4.0,611,162,3,2,45,78.0,18.0,1443.0,6150,1400,686,642,151,490,23,57,43,5,1199,2014,1.3097713097713097
Rangers,67,95,4.49,638,162,6,4,33,68.0,14.0,1426.1,6195,1510,773,712,160,505,43,61,61,7,1110,2014,1.4129443938012762
Tigers,90,72,4.01,635,162,5,4,41,72.0,16.0,1454.0,6191,1475,705,648,127,462,34,42,43,9,1244,2014,1.3321870701513068
Astros,70,92,4.14,600,162,7,2,31,65.0,25.0,1438.2,6154,1437,723,662,139,484,32,52,57,7,1137,2014,1.3356973995271868
Diamondbacks,64,98,4.26,650,162,2,1,35,75.0,20.0,1444.1,6162,1467,742,683,154,469,43,51,50,5,1278,2014,1.3406273803753204
White Sox,73,89,4.3,615,162,3,0,36,68.0,21.0,1441.0,6255,1468,758,688,140,557,42,69,75,3,1152,2014,1.4052741151977792
Brewers,82,80,3.67,640,162,3,3,45,76.0,20.0,1457.2,6106,1386,657,594,167,431,20,42,44,2,1246,2014,1.2469118858083996
Red Sox,71,91,4.01,655,162,3,2,36,63.0,18.0,1465.2,6231,1458,715,653,154,482,19,47,51,5,1213,2014,1.324051324051324
Reds,76,86,3.59,590,162,5,3,44,69.0,19.0,1446.0,6067,1282,612,576,163,507,33,69,45,5,1290,2014,1.2372060857538036
Mets,79,83,3.49,651,162,1,1,42,73.0,22.0,1463.2,6170,1370,618,568,141,509,38,50,56,1,1303,2014,1.2841716785128485
Indians,85,77,3.57,735,162,6,4,40,76.0,22.0,1468.1,6193,1398,653,583,135,464,51,58,56,2,1450,2014,1.2683059737075133
Rays,77,85,3.56,656,162,3,1,37,75.0,19.0,1463.2,6131,1292,625,579,145,482,27,58,65,3,1437,2014,1.2124111536358666
Royals,89,73,3.51,613,162,3,2,53,75.0,12.0,1450.2,6101,1386,624,565,128,440,14,56,58,6,1168,2014,1.259136670804027
Cardinals,90,72,3.5,647,162,8,5,55,95.0,17.0,1448.2,6069,1321,603,564,123,470,35,61,44,5,1221,2014,1.2367076370667034
Giants,88,74,3.5,637,162,8,3,46,81.0,18.0,1449.0,5947,1305,614,564,133,389,35,57,49,6,1211,2014,1.1690821256038648
Pirates,88,74,3.49,614,162,2,1,48,90.0,24.0,1456.1,6130,1341,631,565,128,499,43,88,71,3,1228,2014,1.2636494746239957
Orioles,96,66,3.44,641,162,3,2,53,97.0,19.0,1461.1,6104,1342,593,558,151,472,25,59,42,2,1174,2014,1.2415303538429951
Dodgers,94,68,3.4,658,162,7,3,47,89.0,14.0,1464.2,6075,1338,617,554,142,429,35,41,64,4,1373,2014,1.2068023494058189
Braves,79,83,3.38,634,162,5,2,54,81.0,13.0,1455.0,6087,1369,597,547,121,472,36,37,75,1,1301,2014,1.2652920962199312
Padres,77,85,3.27,643,162,4,3,41,75.0,8.0,1438.2,6006,1300,577,523,117,462,32,46,57,4,1284,2014,1.2251425392852175
Athletics,88,74,3.22,603,162,7,3,31,61.0,21.0,1463.1,5971,1269,572,524,147,406,28,48,59,1,1244,2014,1.1448294716697425
Mariners,87,75,3.17,659,162,2,1,51,86.0,11.0,1452.0,5974,1240,554,512,137,463,36,52,80,8,1317,2014,1.1728650137741048
Twins,70,92,4.58,653,162,2,0,38,68.0,20.0,1435.0,6212,1588,777,730,147,408,24,45,50,6,1031,2014,1.3909407665505227
Angels,98,64,3.58,705,162,3,2,46,81.0,16.0,1482.2,6179,1307,630,590,126,504,41,63,74,4,1342,2014,1.221832411280529
Rockies,66,96,4.86,709,162,1,1,24,74.0,26.0,1431.0,6248,1528,818,772,173,531,32,54,72,8,1074,2014,1.4388539482879106
Nationals,96,66,3.03,620,162,5,4,45,93.0,17.0,1470.2,6020,1351,555,495,110,352,26,51,37,2,1288,2014,1.158345803292069
Yankees,87,75,4.03,659,162,3,0,48,80.0,12.0,1457.2,6191,1416,698,653,182,474,16,56,78,4,1370,2015,1.2970079604721383
Braves,67,95,4.41,694,162,3,2,44,82.0,26.0,1425.1,6156,1462,760,699,170,550,45,53,53,9,1148,2015,1.4118307487193882
Reds,64,98,4.35,683,162,2,1,35,63.0,21.0,1453.1,6271,1436,754,702,177,544,42,58,54,11,1252,2015,1.3626040878122636
Red Sox,78,84,4.34,637,162,3,1,40,63.0,20.0,1448.1,6224,1486,753,698,178,478,17,62,79,10,1218,2015,1.3562599268006355
Brewers,68,94,4.28,658,162,1,0,40,73.0,14.0,1435.0,6148,1432,737,682,176,517,36,55,71,5,1260,2015,1.3581881533101046
Rangers,88,74,4.25,660,162,5,3,45,94.0,17.0,1442.2,6215,1459,733,682,171,508,29,63,51,5,1095,2015,1.363888503674941
Mariners,76,86,4.16,671,162,6,5,45,100.0,24.0,1463.0,6223,1430,726,677,181,491,41,70,72,5,1283,2015,1.3130553656869446
Athletics,68,94,4.16,649,162,5,3,28,41.0,25.0,1444.2,6128,1402,729,668,172,474,19,47,62,4,1179,2015,1.298989059687024
Padres,74,88,4.09,678,162,1,0,41,63.0,17.0,1440.1,6093,1371,731,655,171,516,35,54,54,3,1393,2015,1.3103256718283454
Twins,83,79,4.07,682,162,2,0,45,76.0,15.0,1443.0,6139,1506,700,653,163,413,34,41,54,2,1046,2015,1.3298683298683298
Orioles,81,81,4.05,615,162,0,0,43,54.0,15.0,1434.2,6085,1406,693,646,174,483,27,54,46,0,1233,2015,1.3171105842978663
Diamondbacks,79,83,4.05,712,162,1,1,44,85.0,21.0,1466.2,6257,1450,713,660,182,500,45,48,51,3,1215,2015,1.3299686263811212
Marlins,71,91,4.04,648,162,0,0,35,80.0,21.0,1427.0,6050,1374,678,640,141,508,25,52,53,3,1152,2015,1.3188507358093904
Tigers,74,87,4.64,666,161,7,4,35,49.0,24.0,1447.0,6188,1491,803,746,193,489,32,46,60,8,1100,2015,1.3683483068417415
Rockies,68,94,5.04,746,162,4,1,36,99.0,25.0,1426.1,6308,1579,844,799,183,579,42,48,66,6,1112,2015,1.513217866909754
Angels,85,77,3.94,680,162,2,2,46,82.0,21.0,1440.2,6096,1355,675,631,166,466,45,71,61,4,1221,2015,1.2644077211498403
Blue Jays,93,69,3.81,631,162,7,2,34,60.0,22.0,1441.0,5984,1353,670,610,173,397,20,59,62,4,1117,2015,1.2144344205412907
Rays,80,82,3.74,692,162,1,1,60,113.0,27.0,1453.1,6069,1314,642,604,175,477,23,46,81,5,1355,2015,1.2325373339756385
Royals,95,67,3.74,655,162,2,1,56,79.0,20.0,1452.0,6112,1372,641,603,155,489,10,52,62,2,1160,2015,1.2816804407713498
Giants,84,78,3.73,719,162,7,4,41,116.0,15.0,1444.1,6009,1344,627,599,155,431,28,50,40,4,1165,2015,1.229139256284191
Indians,81,80,3.68,637,161,11,1,38,61.0,12.0,1432.2,5904,1274,640,586,161,425,27,48,48,5,1407,2015,1.1862868314481216
Nationals,83,79,3.62,630,162,4,3,41,77.0,23.0,1434.2,5975,1366,635,577,145,364,37,55,39,4,1342,2015,1.2062473853019104
Astros,86,76,3.57,644,162,5,3,39,79.0,19.0,1441.0,5965,1308,618,572,148,423,17,43,61,2,1280,2015,1.2012491325468424
Dodgers,92,70,3.46,677,162,6,3,47,87.0,21.0,1445.2,5932,1317,595,555,145,395,32,38,52,10,1396,2015,1.1846111264876833
Mets,90,72,3.45,647,162,1,1,50,71.0,21.0,1462.2,6046,1341,613,561,152,383,43,44,46,2,1337,2015,1.1790452742442894
Cubs,97,65,3.36,714,162,6,4,48,89.0,19.0,1461.1,5997,1276,608,546,134,407,38,46,66,3,1431,2015,1.1518718773526795
Pirates,98,64,3.23,662,162,0,0,54,99.0,14.0,1489.2,6215,1392,596,534,110,453,38,75,67,4,1338,2015,1.2389202256244964
White Sox,76,86,3.98,576,162,7,4,37,61.0,15.0,1452.2,6181,1443,701,643,162,474,34,62,61,2,1359,2015,1.3200661065968875
Phillies,63,99,4.69,665,162,1,1,35,53.0,16.0,1436.1,6332,1592,809,749,191,488,37,61,60,7,1153,2015,1.4483671053547804
Cardinals,100,62,2.94,677,162,1,0,62,84.0,15.0,1464.2,6134,1359,525,478,123,477,37,45,48,5,1329,2015,1.2539270591449254
Diamondbacks,69,93,5.09,737,162,2,2,31,69.0,22.0,1451.1,6437,1563,890,821,202,603,57,57,69,7,1318,2016,1.4926607401281786
Reds,68,94,4.91,646,162,2,1,28,57.0,25.0,1442.0,6348,1457,854,787,258,636,31,78,61,12,1241,2016,1.4514563106796117
Phillies,71,91,4.64,667,162,4,3,43,80.0,20.0,1437.0,6163,1468,796,741,213,466,30,51,57,9,1299,2016,1.3458594293667363
Athletics,69,93,4.51,654,162,2,1,42,66.0,23.0,1433.1,6144,1459,761,719,185,464,28,50,70,3,1188,2016,1.3418463470797573
Braves,68,93,4.51,748,161,1,1,39,64.0,19.0,1447.2,6250,1414,779,725,177,547,55,70,83,4,1227,2016,1.3550304035378662
Padres,68,94,4.44,672,162,1,0,35,74.0,18.0,1440.0,6228,1425,770,711,183,569,44,53,67,3,1222,2016,1.3847222222222222
Rangers,95,67,4.38,641,162,1,0,56,103.0,17.0,1443.0,6186,1441,757,703,201,534,16,53,45,5,1154,2016,1.3686763686763688
Angels,74,88,4.28,689,162,4,3,29,83.0,21.0,1421.1,6120,1480,727,676,208,498,27,56,47,10,1136,2016,1.3918795299415947
Tigers,86,75,4.24,637,161,3,1,47,75.0,19.0,1428.0,6048,1417,721,673,182,462,25,51,44,4,1232,2016,1.3158263305322129
Pirates,78,83,4.22,687,162,5,1,51,89.0,20.0,1450.2,6292,1491,758,681,180,533,28,68,71,7,1232,2016,1.3956695628189215
Orioles,89,73,4.22,605,162,1,0,54,58.0,14.0,1432.0,6122,1408,715,671,183,545,23,51,59,3,1248,2016,1.363826815642458
Royals,81,81,4.21,634,162,3,0,41,78.0,19.0,1440.0,6182,1433,712,674,206,517,8,60,55,7,1287,2016,1.3541666666666667
Rays,68,94,4.2,647,162,1,1,42,75.0,18.0,1426.1,6076,1395,713,665,210,491,25,32,61,7,1357,2016,1.3224879040740483
White Sox,78,84,4.12,643,162,7,1,43,86.0,28.0,1446.2,6195,1422,715,662,185,521,30,68,72,2,1270,2016,1.3435209514589959
Brewers,73,89,4.1,675,162,0,0,46,88.0,22.0,1434.1,6188,1450,733,653,178,532,33,66,48,2,1175,2016,1.382051460846524
Cardinals,86,76,4.08,643,162,2,2,38,70.0,17.0,1448.1,6164,1432,712,656,159,475,35,52,50,1,1290,2016,1.3168980042814724
Astros,84,78,4.06,662,162,2,1,44,102.0,20.0,1468.0,6180,1441,701,663,181,453,19,39,98,2,1396,2016,1.2901907356948228
Marlins,79,82,4.05,720,161,0,0,55,97.0,29.0,1435.0,6164,1358,682,646,152,595,62,61,66,3,1379,2016,1.3609756097560977
Red Sox,93,69,4.0,625,162,9,1,43,81.0,18.0,1439.2,6073,1341,694,640,176,490,16,65,52,0,1362,2016,1.2722345747637576
Mariners,86,76,4.0,638,162,2,2,49,97.0,25.0,1457.0,6147,1410,707,647,213,460,30,55,52,7,1318,2016,1.283459162663006
Indians,94,67,3.86,665,161,5,3,37,54.0,11.0,1445.0,6033,1330,676,619,186,461,34,34,49,7,1398,2016,1.2394463667820068
Blue Jays,89,73,3.79,649,162,0,0,43,72.0,22.0,1459.1,6113,1340,666,615,183,461,10,59,50,7,1314,2016,1.234322527585498
Dodgers,91,71,3.7,768,162,3,3,47,100.0,22.0,1453.0,6014,1266,638,598,165,464,51,53,58,5,1510,2016,1.1906400550584997
Giants,87,75,3.69,737,162,10,3,43,125.0,30.0,1460.1,6048,1333,631,599,158,439,30,46,40,6,1309,2016,1.2136155057872748
Mets,87,75,3.58,700,162,1,1,55,100.0,16.0,1447.0,6067,1398,617,576,152,439,39,35,50,7,1396,2016,1.2695231513476157
Nationals,95,67,3.52,670,162,1,0,46,91.0,14.0,1459.2,6036,1272,612,571,155,468,43,57,47,4,1476,2016,1.1924342105263157
Rockies,75,87,4.92,695,162,2,2,37,73.0,28.0,1429.1,6289,1532,860,781,181,547,38,70,72,5,1223,2016,1.454761738156882
Twins,59,103,5.09,695,162,4,1,26,46.0,20.0,1443.0,6314,1617,889,816,221,479,26,41,83,7,1191,2016,1.4525294525294525
Yankees,84,78,4.16,645,162,0,0,48,80.0,16.0,1428.1,6023,1358,702,661,214,444,15,57,52,2,1393,2016,1.261816399411806
Cubs,103,58,3.15,665,162,5,2,38,74.0,15.0,1459.2,5933,1125,556,511,163,495,24,63,80,0,1441,2016,1.1101973684210527
Dodgers,104,58,3.38,698,162,2,0,51,97.0,16.0,1444.2,5925,1226,580,543,184,442,33,40,40,10,1549,2017,1.154964686331533
Red Sox,93,69,3.73,677,162,5,1,39,83.0,18.0,1482.1,6217,1384,668,615,195,465,18,49,43,3,1580,2017,1.247554146143985
Yankees,91,71,3.75,639,162,2,1,36,70.0,23.0,1448.2,6078,1248,660,603,192,504,18,53,83,4,1560,2017,1.2097776550200248
Nationals,97,65,3.88,649,162,3,1,46,88.0,17.0,1446.2,6068,1300,672,624,189,495,39,60,44,5,1457,2017,1.241183792006638
Cubs,92,70,3.95,693,162,2,1,38,90.0,19.0,1447.1,6108,1294,695,636,194,554,29,66,73,4,1439,2017,1.2770368322852603
Rays,80,82,3.99,673,162,0,0,53,93.0,22.0,1445.0,6099,1324,704,640,193,503,37,48,83,4,1352,2017,1.2643598615916956
Brewers,86,76,4.0,712,162,1,0,54,101.0,25.0,1445.2,6164,1381,697,642,185,553,45,64,50,2,1346,2017,1.3382230833102684
Cardinals,83,79,4.01,708,162,3,3,43,90.0,17.0,1450.1,6153,1393,705,647,183,493,50,67,38,0,1351,2017,1.3005999586235433
Astros,101,61,4.12,681,162,1,0,45,91.0,21.0,1446.0,6111,1314,700,662,192,522,17,70,86,4,1593,2017,1.2697095435684647
Angels,80,82,4.2,705,162,1,1,43,77.0,21.0,1440.2,6030,1373,709,672,224,470,25,44,57,6,1312,2017,1.279683377308707
Pirates,75,87,4.23,664,162,2,1,36,82.0,21.0,1440.2,6208,1464,731,677,182,511,32,58,58,2,1262,2017,1.371337314261908
Blue Jays,76,86,4.42,740,162,2,0,45,79.0,26.0,1465.0,6316,1460,784,720,203,549,25,48,53,4,1372,2017,1.3713310580204778
Mariners,78,84,4.46,689,162,1,0,39,93.0,26.0,1440.1,6132,1399,772,713,237,490,28,53,73,7,1244,2017,1.3117144642733145
Giants,64,98,4.5,664,162,3,2,32,66.0,22.0,1452.0,6287,1515,776,726,182,496,42,50,55,3,1234,2017,1.3849862258953167
Indians,102,60,3.3,659,162,7,3,37,87.0,10.0,1440.2,5866,1267,564,529,163,406,15,45,48,1,1614,2017,1.1616442160810998
Rockies,87,75,4.51,711,162,1,1,47,111.0,14.0,1437.2,6177,1453,757,721,190,532,20,50,69,10,1270,2017,1.3811578068466461
Phillies,66,96,4.57,668,162,1,0,33,73.0,24.0,1441.0,6235,1471,782,731,221,527,39,63,50,11,1309,2017,1.3865371269951423
Twins,85,77,4.6,682,162,6,3,42,82.0,20.0,1436.0,6205,1487,788,734,224,483,37,69,52,8,1166,2017,1.371866295264624
Royals,80,82,4.63,700,162,1,1,39,94.0,21.0,1437.2,6218,1480,791,740,196,519,24,52,48,6,1216,2017,1.390898970219872
Athletics,75,87,4.67,687,162,1,1,35,95.0,25.0,1431.0,6167,1444,826,743,210,502,17,61,84,3,1202,2017,1.3598881900768693
Padres,71,91,4.7,679,162,2,1,45,81.0,17.0,1430.2,6169,1417,816,747,226,554,28,75,73,11,1325,2017,1.3781289330163613
Rangers,78,84,4.7,626,162,2,1,29,66.0,21.0,1434.1,6211,1443,816,749,214,559,22,74,63,7,1107,2017,1.3959974897148038
Braves,72,90,4.72,692,162,0,0,36,81.0,23.0,1441.1,6306,1463,821,756,192,584,39,70,58,5,1258,2017,1.4204427173686769
White Sox,67,95,4.78,682,162,0,0,25,55.0,15.0,1421.2,6200,1384,820,755,242,632,36,68,67,5,1193,2017,1.4185195609344217
Marlins,77,85,4.82,742,162,1,1,34,98.0,26.0,1442.2,6318,1450,822,772,193,627,59,75,57,3,1202,2017,1.4401608653446123
Orioles,75,87,4.97,654,162,1,1,35,58.0,17.0,1441.0,6293,1505,841,796,242,579,21,60,53,6,1233,2017,1.4462179042331713
Mets,70,92,5.01,730,162,2,0,34,73.0,20.0,1434.2,6378,1538,863,799,220,593,51,55,55,5,1374,2017,1.4858457676753591
Reds,68,94,5.17,666,162,2,1,33,57.0,14.0,1430.0,6286,1442,869,821,248,631,37,77,62,7,1300,2017,1.4496503496503497
Tigers,64,98,5.36,672,162,2,1,32,75.0,23.0,1420.1,6298,1587,894,846,218,538,42,61,53,4,1202,2017,1.4963734948243081
Diamondbacks,93,69,3.67,675,162,2,1,43,92.0,19.0,1441.0,6072,1309,659,588,171,516,45,38,82,5,1482,2017,1.2664816099930605
Mets,77,85,4.07,663,162,3,1,41,65.0,17.0,1460.2,6178,1364,707,661,185,484,32,71,26,2,1446,2018,1.2655800575263663
Royals,58,104,4.95,645,162,2,0,33,52.0,24.0,1432.0,6284,1542,833,787,205,549,28,51,68,4,1157,2018,1.460195530726257
Orioles,47,115,5.19,652,162,2,0,28,54.0,18.0,1431.0,6340,1552,892,825,234,589,29,67,81,8,1203,2018,1.496156533892383
Astros,103,59,3.11,672,162,3,2,46,105.0,21.0,1455.0,5913,1164,534,503,152,435,4,66,67,4,1687,2018,1.0989690721649485
Dodgers,92,71,3.4,756,163,0,0,48,89.0,26.0,1476.0,6096,1279,610,557,179,422,39,61,39,10,1565,2018,1.1524390243902438
Cubs,95,68,3.65,763,163,1,0,46,103.0,19.0,1476.1,6264,1319,645,598,157,622,33,66,46,3,1333,2018,1.3149515615473206
Diamondbacks,82,80,3.73,735,162,2,1,39,111.0,27.0,1463.0,6139,1313,644,606,174,522,43,57,69,5,1448,2018,1.254272043745728
Brewers,96,67,3.73,722,163,0,0,49,92.0,25.0,1461.0,6114,1259,659,606,173,553,34,61,50,5,1428,2018,1.2402464065708418
Rays,90,72,3.75,715,162,0,0,52,113.0,21.0,1448.1,5992,1236,646,603,164,501,34,53,55,6,1421,2018,1.199502796768179
Red Sox,108,54,3.75,697,162,2,0,46,106.0,20.0,1458.2,6166,1305,647,608,176,512,8,84,51,3,1558,2018,1.2460567823343849
Indians,91,71,3.77,670,162,5,2,41,76.0,17.0,1457.1,6071,1349,648,611,200,407,29,59,54,2,1544,2018,1.2051334843181662
Yankees,100,62,3.78,670,162,2,2,49,76.0,17.0,1456.1,6141,1311,669,611,177,494,9,58,73,4,1634,2018,1.239612663965387
Athletics,97,65,3.82,740,162,2,2,44,84.0,18.0,1465.2,6099,1303,674,622,184,474,19,53,86,2,1237,2018,1.2128037128037128
Cardinals,88,74,3.85,727,162,1,1,43,89.0,21.0,1455.1,6271,1354,691,623,144,593,49,67,63,4,1337,2018,1.3380523675348774
Giants,73,89,3.95,711,162,1,1,36,82.0,30.0,1461.1,6191,1387,699,642,156,524,37,45,44,4,1269,2018,1.3079186913968928
Braves,90,72,3.75,715,162,2,1,40,97.0,20.0,1456.2,6155,1236,657,607,153,635,43,52,61,8,1423,2018,1.2848509820079659
Nationals,82,80,4.04,724,162,2,1,40,82.0,14.0,1446.0,6087,1320,682,649,198,487,37,76,42,6,1417,2018,1.2496542185338866
Rangers,67,95,4.92,668,162,1,0,42,90.0,14.0,1431.0,6231,1516,848,783,222,491,23,72,57,8,1121,2018,1.4025157232704402
Pirates,82,79,4.0,641,161,3,2,40,81.0,20.0,1434.0,6144,1380,693,638,174,497,43,69,95,6,1336,2018,1.308926080892608
Blue Jays,73,89,4.85,752,162,0,0,39,83.0,20.0,1433.2,6265,1476,832,773,208,551,19,67,71,5,1298,2018,1.4143176109405526
White Sox,62,100,4.85,715,162,0,0,34,67.0,19.0,1437.0,6339,1404,848,774,196,653,25,89,94,9,1259,2018,1.431454418928323
Marlins,63,98,4.76,707,161,1,0,30,80.0,22.0,1442.0,6236,1388,809,763,192,605,73,71,47,6,1249,2018,1.382108183079057
Tigers,64,98,4.6,704,162,0,0,37,75.0,24.0,1425.1,6130,1423,796,728,216,491,20,60,54,4,1215,2018,1.3430636446565154
Reds,67,95,4.65,706,162,1,0,38,74.0,19.0,1441.0,6279,1491,819,745,228,532,60,50,48,8,1258,2018,1.4038861901457322
Padres,66,96,4.41,697,162,0,0,36,83.0,17.0,1457.0,6254,1430,767,714,185,519,28,68,52,4,1399,2018,1.3376801647220316
Rockies,91,72,4.33,681,163,0,0,51,105.0,27.0,1452.1,6154,1377,745,699,184,525,24,52,70,8,1409,2018,1.3098271468907101
Angels,80,82,4.15,763,162,1,1,35,86.0,26.0,1437.1,6108,1353,722,663,205,546,17,65,87,3,1386,2018,1.3214111752835573
Phillies,80,82,4.15,758,162,0,0,44,104.0,20.0,1445.2,6138,1366,728,666,171,500,35,60,81,7,1465,2018,1.2911707722114585
Mariners,89,73,4.13,699,162,3,1,60,109.0,21.0,1448.2,6073,1396,711,664,195,400,21,72,57,3,1328,2018,1.2401601988675597
