Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Rockies,73,89,5.21,668,162,1,0,43,78.0,16.0,1426.2,6345,1554,898,826,225,582,49,64,42,6,920,2002,1.4976861590239798
Twins,94,67,4.12,596,161,8,5,47,83.0,18.0,1444.2,6133,1454,712,662,184,439,24,45,62,3,1026,2002,1.3107602825093476
Mariners,93,69,4.07,505,162,8,3,43,57.0,21.0,1445.1,6117,1422,699,654,178,441,34,49,42,3,1063,2002,1.2891841395059167
Astros,84,78,4.0,642,162,2,2,43,70.0,15.0,1445.0,6205,1423,695,643,151,546,78,55,38,3,1219,2002,1.3626297577854671
Expos,83,79,3.98,599,162,9,1,39,78.0,20.0,1453.0,6246,1475,718,642,165,508,80,46,51,5,1088,2002,1.364762560220234
Diamondbacks,98,64,3.93,584,162,14,5,40,58.0,19.0,1446.2,6067,1361,674,631,170,421,30,54,48,11,1303,2002,1.2321947171898768
Mets,75,86,3.91,612,161,9,6,36,62.0,15.0,1442.2,6212,1408,703,626,163,543,75,55,22,7,1107,2002,1.3527943419775343
Red Sox,93,69,3.75,500,162,5,3,51,40.0,17.0,1446.0,6049,1339,665,603,146,430,29,84,31,6,1157,2002,1.223374827109267
Cardinals,97,65,3.7,634,162,4,2,42,82.0,21.0,1446.1,6135,1355,648,595,141,547,39,60,40,2,1009,2002,1.3152617384689855
Dodgers,92,70,3.69,585,162,4,2,56,78.0,15.0,1457.2,6139,1311,643,598,165,555,45,46,33,3,1132,2002,1.2805380181169366
Athletics,103,59,3.69,570,162,9,5,48,86.0,21.0,1452.0,6158,1391,654,595,135,474,45,62,40,9,1021,2002,1.284435261707989
Angels,99,63,3.69,562,162,7,2,54,66.0,17.0,1452.1,6097,1345,644,595,169,509,24,49,52,7,999,2002,1.276771572205771
Giants,95,66,3.55,579,162,10,5,43,70.0,17.0,1437.1,6056,1349,616,567,116,523,44,36,36,2,992,2002,1.3026233386681512
Braves,101,59,3.13,630,161,3,2,57,79.0,14.0,1467.1,6131,1302,565,511,123,554,63,42,40,4,1058,2002,1.2650807715902121
Phillies,80,81,4.17,611,161,5,3,47,78.0,24.0,1449.2,6222,1381,724,671,153,570,54,70,68,5,1075,2002,1.346260005520287
Yankees,103,58,3.89,495,161,9,5,53,46.0,16.0,1452.0,6159,1441,697,627,144,403,44,48,59,2,1135,2002,1.2699724517906337
Devil Rays,55,106,5.29,467,161,12,1,25,24.0,21.0,1440.1,6424,1567,918,847,215,620,24,94,62,10,925,2002,1.5186445385737102
Athletics,96,66,3.63,526,162,16,5,48,53.0,12.0,1441.2,6078,1336,643,582,140,499,42,54,41,10,1018,2003,1.2732445184568415
Rangers,71,91,5.69,656,162,4,2,43,74.0,20.0,1433.1,6413,1625,969,906,208,603,45,63,51,8,1009,2003,1.5546716907403533
Tigers,43,119,5.32,613,162,3,0,27,44.0,19.0,1438.2,6376,1616,928,850,195,557,35,56,52,5,764,2003,1.5109164233069114
Rockies,74,88,5.24,662,162,3,0,34,76.0,20.0,1420.0,6364,1629,892,826,200,552,51,84,48,8,866,2003,1.5359154929577465
Reds,69,93,5.09,637,162,4,1,38,60.0,26.0,1446.1,6423,1578,886,818,209,590,61,48,46,3,932,2003,1.4992047576239542
Royals,83,79,5.07,570,162,7,3,36,62.0,28.0,1438.2,6366,1569,867,810,190,566,33,66,60,9,865,2003,1.4844945070226672
Brewers,68,94,5.03,622,162,5,1,44,59.0,27.0,1452.0,6459,1590,873,811,219,575,43,61,57,8,1034,2003,1.491046831955923
Devil Rays,63,99,4.93,534,162,7,3,30,56.0,25.0,1436.2,6340,1454,852,787,196,639,37,95,65,9,877,2003,1.457317922294945
Orioles,71,91,4.76,588,163,9,1,41,66.0,21.0,1449.2,6366,1579,820,767,198,526,43,80,42,4,981,2003,1.452525531327629
Blue Jays,86,76,4.69,605,162,14,4,35,64.0,17.0,1435.0,6270,1560,826,748,184,485,46,57,56,2,984,2003,1.4250871080139373
Pirates,75,87,4.65,619,162,7,3,44,77.0,24.0,1444.1,6293,1527,801,746,178,502,58,61,50,2,926,2003,1.4050273526764074
Cardinals,85,77,4.62,622,162,9,3,41,72.0,30.0,1463.2,6375,1544,796,751,210,508,36,65,53,1,969,2003,1.4024056861673044
Mets,66,95,4.5,573,161,3,3,38,59.0,15.0,1413.1,6204,1497,754,706,168,576,71,45,45,7,907,2003,1.46698747434718
Red Sox,95,67,4.49,599,162,5,0,36,46.0,21.0,1464.2,6355,1503,809,731,153,488,41,76,44,0,1141,2003,1.3597869143559622
Padres,64,98,4.87,635,162,2,0,31,60.0,18.0,1431.1,6303,1458,831,775,208,611,52,62,64,3,1091,2003,1.4457410383620992
